CONTROL,TERRENOS,SUP_TOTAL,SUMA_TOTAL,sup_cal_ha,sup_tot_ch,diferencia,GRIDCODE,cambio_tip,sup_cambio
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,42,Sin cambio,46.404
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,40,Deforestada,7.998
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,22,Actividad productiva,7.125
07116005-0003,230,6643.5596,89957.849,6686.051,90819.402,42.491,1,Sin cambio,34.663
07116007-A003,163,2981.8731,89957.849,2969.588,90819.402,-12.285,30,Reforestado,23.641
07116007-A003,163,2981.8731,89957.849,2969.588,90819.402,-12.285,29,Conservado,96.416
07116007-A003,163,2981.8731,89957.849,2969.588,90819.402,-12.285,35,Transicion,1.757
07116007-A003,163,2981.8731,89957.849,2969.588,90819.402,-12.285,23,Sin cambio,308.124
07116007-A003,163,2981.8731,89957.849,2969.588,90819.402,-12.285,37,Conservado,258.051
07116007-A003,163,2981.8731,89957.849,2969.588,90819.402,-12.285,24,Deforestada,208.442
07116007-A003,163,2981.8731,89957.849,2969.588,90819.402,-12.285,36,Deforestada,972.174
07116007-A003,163,2981.8731,89957.849,2969.588,90819.402,-12.285,25,Degradada,1100.983
07116010-1014,31,631.7403,89957.849,644.454,90819.402,12.714,30,Reforestado,31.435
07116010-1014,31,631.7403,89957.849,644.454,90819.402,12.714,29,Conservado,185.407
07116010-1014,31,631.7403,89957.849,644.454,90819.402,12.714,24,Deforestada,196.097
07116010-1014,31,631.7403,89957.849,644.454,90819.402,12.714,25,Degradada,231.515
07116010-1012,70,326.83,89957.849,325.3,90819.402,-1.53,30,Reforestado,23.315
