control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,cont_clave,abejas,asnos,aves,bovinos,caprinos,conejos,equinos,iguana,machosmlas,ovinos,porcinos,p_total
07027009-7013,7,Chiapas,27,Chiapa de Corzo,009-7,13,47,42.8589,027_009-7_013,3096.78574815,426512.017178,027_009-7_013,,,,14,,,,,,,,14
07009005-0016,7,Chiapas,9,Arriaga,005-0,16,47,50.3793,009_005-0_016,5041.39828723,501206.628276,009_005-0_016,,,2,10,,,,,,,1,13
07107014-0016,7,Chiapas,107,Villa Corzo,014-0,16,29,431.7662,107_014-0_016,10652.1080015,4291220.0192,107_014-0_016,,,,6,,,,,,,,6
07107014-0018,7,Chiapas,107,Villa Corzo,014-0,18,26,93.5101,107_014-0_018,4188.63749813,984652.693469,107_014-0_018,,,,13,,,,,,,,13
07079006-A024,7,Chiapas,79,San Fernando,006-A,24,175,533.0883,079_006-A_024,12439.0176254,5656012.15049,079_006-A_024,,,,4,,,,,,,,4
07097015-7031,7,Chiapas,97,Tonalá,015-7,31,21,95.9061,097_015-7_031,4050.27452196,952372.234978,097_015-7_031,,,,19,,,,,,,,19
07065018-7004,7,Chiapas,65,Palenque,018-7,4,105,323.1872,065_018-7_004,10557.9075091,3230707.8617,065_018-7_004,,,3,4,,,,,,,,7
07043001-4004,7,Chiapas,43,Ixtacomitán,001-4,4,3,179.9405,043_001-4_004,8475.81244443,1797743.15315,043_001-4_004,,,,3,,,,,,,,3
07013003-4005,7,Chiapas,13,Bochil,003-4,5,253,1231.2187,013_003-4_005,26856.719081,12486254.283,013_003-4_005,,,,2,,,,,,,,2
07052034-8004,7,Chiapas,52,Las Margaritas,034-8,4,118,4862.4342,052_034-8_004,44289.1564665,48612283.5383,052_034-8_004,,,,12,,,,,,,,12
07013008-7005,7,Chiapas,13,Bochil,008-7,5,150,909.7102,013_008-7_005,14996.7199685,9071255.3975,013_008-7_005,,,,51,,,,,,,,51
07016001-7006,7,Chiapas,16,Catazajá,001-7,6,52,317.3629,016_001-7_006,10059.3258538,4315414.79504,016_001-7_006,,,,3,,,,,,,1,4
07065019-1009,7,Chiapas,65,Palenque,019-1,9,1,928.441,065_019-1_009,15008.5509715,9275981.58254,065_019-1_009,,,1,,,,,,,,,1
07032005-9037,7,Chiapas,32,Escuintla,005-9,37,56,135.5984,032_005-9_037,5299.89460889,1433089.67259,032_005-9_037,,,,15,,,,,,,,15
07028002-2006,7,Chiapas,28,Chiapilla,002-2,6,18,600.0018,028_002-2_006,13297.2396119,5972953.91082,028_002-2_006,,,2,11,,,,,,,,13
07069011-4006,7,Chiapas,69,Pijijiapan,011-4,6,101,1187.6806,069_011-4_006,22210.8376785,12395584.4373,069_011-4_006,,,,67,,,,,,,,67
07051007-3007,7,Chiapas,51,Mapastepec,007-3,7,45,437.1006,051_007-3_007,12422.5287131,4332314.49113,051_007-3_007,,,,20,,,,,,,,20
07062001-A047,7,Chiapas,62,Ostuacán,001-A,47,6,9.9279,062_001-A_047,1898.93003476,99185.8402779,062_001-A_047,,,,6,,,,,,,,6
07016005-5003,7,Chiapas,16,Catazajá,005-5,3,12,454.5046,016_005-5_003,11003.2687432,4547757.6345,016_005-5_003,,,,11,,,,,,,,11
07002005-A008,7,Chiapas,2,Acala,005-A,8,298,1290.5842,002_005-A_008,19423.6535554,13806192.9528,002_005-A_008,,,1,,,,,,,,,1
07050001-9008,7,Chiapas,50,La Libertad,001-9,8,74,686.4075,050_001-9_008,18927.4118584,7846311.01117,050_001-9_008,,,1,25,,,,,,,,26
07092015-0009,7,Chiapas,92,Tecpatán,015-0,9,16,785.9438,092_015-0_009,13423.2217322,7842816.35594,092_015-0_009,,,1,10,,,,,,,,11
07092015-0005,7,Chiapas,92,Tecpatán,015-0,5,14,782.6862,092_015-0_005,18724.1604596,7810808.56562,092_015-0_005,,,,14,,,,,,,,14
07016011-0024,7,Chiapas,16,Catazajá,011-0,24,5,472.8289,016_011-0_024,9748.56975648,4727700.24693,016_011-0_024,,,,5,,,,,,,,5
07019016-5009,7,Chiapas,19,Comitán de Domínguez,016-5,9,141,699.986,019_016-5_009,14300.0726343,6960903.84832,019_016-5_009,,,,11,,,,,,,,11
07059028-3010,7,Chiapas,59,Ocosingo,028-3,10,64,249.2851,059_028-3_010,7017.46479442,2486521.39043,059_028-3_010,,,,1,,,,,,,,1
07052030-A011,7,Chiapas,52,Las Margaritas,030-A,11,1,139.7109,052_030-A_011,5900.87392568,1390154.20337,052_030-A_011,,,,1,,,,,,,,1
07065013-4013,7,Chiapas,65,Palenque,013-4,13,30,553.3126,065_013-4_013,12222.2151588,5530319.75413,065_013-4_013,,,,9,,,,,,,,9
07097008-7017,7,Chiapas,97,Tonalá,008-7,17,83,2045.8605,097_008-7_017,25583.180557,20545106.7921,097_008-7_017,,,,74,,,,,,,,74
07108019-0010,7,Chiapas,108,Villaflores,019-0,10,130,364.3647,108_019-0_010,10331.9062373,4005845.7096,108_019-0_010,,,,30,,,,,,,,30
07059034-9003,7,Chiapas,59,Ocosingo,034-9,3,18,214.6447,059_034-9_003,6164.60342565,2140928.35953,059_034-9_003,,,2,2,,,,,,,,4
07051007-3017,7,Chiapas,51,Mapastepec,007-3,17,12,151.6586,051_007-3_017,6677.89472288,1514247.06943,051_007-3_017,,,,11,,,,,,,,11
07081005-3022,7,Chiapas,81,Simojovel,005-3,22,495,341.5511,081_005-3_022,8442.23364701,3521540.06962,081_005-3_022,,,,2,,,,,,,,2
07020003-9002,7,Chiapas,20,La Concordia,003-9,2,5,684.1248,020_003-9_002,17958.7485718,6801002.88899,020_003-9_002,,,,4,,,,,,,,4
07017010-3003,7,Chiapas,17,Cintalapa,010-3,3,151,2658.5023,017_010-3_003,22463.9424781,26504963.2777,017_010-3_003,,,,71,,,,,,,,71
07097011-9003,7,Chiapas,97,Tonalá,011-9,3,5,412.797,097_011-9_003,9019.03423969,4102496.89252,097_011-9_003,,,,5,,,,,,,,5
07069007-8004,7,Chiapas,69,Pijijiapan,007-8,4,31,266.4002,069_007-8_004,6861.03808875,2642790.97457,069_007-8_004,,,4,17,,,,,,,,21
07065012-A006,7,Chiapas,65,Palenque,012-A,6,90,1015.4846,065_012-A_006,13241.3858306,10490003.913,065_012-A_006,,,5,52,,,,,,,5,62
07104002-6003,7,Chiapas,104,Tzimol,002-6,3,1553,3763.6642,104_002-6_003,29735.1589429,39246501.5148,104_002-6_003,,4,,529,,,,,,,,533
07106013-9003,7,Chiapas,106,Venustiano Carranza,013-9,3,142,72.3232,106_013-9_003,5133.79343937,906028.346501,106_013-9_003,,,,3,,,,,,,,3
07017023-0004,7,Chiapas,17,Cintalapa,023-0,4,13,880.9194,017_023-0_004,16310.0456186,8774441.31137,017_023-0_004,,,1,8,,,,,,1,,10
07031010-2006,7,Chiapas,31,Chilón,010-2,6,733,1041.2291,031_010-2_006,26371.749364,10846975.5664,031_010-2_006,2,,,38,,,,,,,,40
07046012-4006,7,Chiapas,46,Jiquipilas,012-4,6,27,876.9103,046_012-4_006,13777.4231639,8727064.56499,046_012-4_006,,,,25,,,,,,,,25
07089030-A006,7,Chiapas,89,Tapachula,030-A,6,4,561.2243,089_030-A_006,11005.678041,5540509.18654,089_030-A_006,,,,3,,,,,,,,3
07031008-5001,7,Chiapas,31,Chilón,008-5,1,63,4188.3534,031_008-5_001,26674.1006052,41814672.7264,031_008-5_001,,,,26,,,,,,,,26
07020014-7007,7,Chiapas,20,La Concordia,014-7,7,141,3075.8168,020_014-7_007,35662.1857066,30536392.3316,020_014-7_007,,,,37,,,,,,,,37
07107014-0007,7,Chiapas,107,Villa Corzo,014-0,7,13,686.9277,107_014-0_007,14076.3206982,6828199.9341,107_014-0_007,,,,7,,,,,,,,7
