control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,cont_clave,abejas,asnos,aves,bovinos,caprinos,conejos,equinos,iguana,machosmlas,ovinos,porcinos,p_total
07077005-0001,7,Chiapas,77,Salto de Agua,005-0,1,15,281.4987,077_005-0_001,6784.51317708,2813786.11083,077_005-0_001,,,,1,,,,,,,,1
07099022-1021,7,Chiapas,99,La Trinitaria,022-1,21,86,9.2566,099_022-1_021,1441.64063497,95112.9186494,099_022-1_021,,,,2,,,,,,,,2
07099014-7014,7,Chiapas,99,La Trinitaria,014-7,14,1,19.7029,099_014-7_014,1889.13908625,195739.458368,099_014-7_014,,,,1,,,,,,,,1
07074001-0011,7,Chiapas,74,Reforma,001-0,11,9,380.5435,074_001-0_011,12487.5503431,3807625.28352,074_001-0_011,,,,2,,,,,,,,2
07107020-6001,7,Chiapas,107,Villa Corzo,020-6,1,6,214.4381,107_020-6_001,7213.20303822,2130669.06455,107_020-6_001,,,,6,,,,,,,,6
07099004-3016,7,Chiapas,99,La Trinitaria,004-3,16,25,58.5419,099_004-3_016,4636.91180768,582684.78263,099_004-3_016,,,,21,,,,,,,,21
07090001-4001,7,Chiapas,90,Tapalapa,001-4,1,464,6210.7067,090_001-4_001,44278.3293667,62143063.2489,090_001-4_001,,,,163,,,,,,,,163
07003004-2019,7,Chiapas,3,Acapetahua,004-2,19,31,135.8938,003_004-2_019,5725.23019246,1429634.33298,003_004-2_019,,,,10,,,,,,,,10
07059009-0006,7,Chiapas,59,Ocosingo,009-0,6,34,488.7602,059_009-0_006,14933.7796145,4879008.68234,059_009-0_006,,,,5,,,,,,,,5
07059039-1002,7,Chiapas,59,Ocosingo,039-1,2,27,6137.655,059_039-1_002,51718.4476853,61249217.6334,059_039-1_002,,,,1,,,,,,,,1
07089025-9009,7,Chiapas,89,Tapachula,025-9,9,93,1434.004,089_025-9_009,37582.454908,14079289.3824,089_025-9_009,,,,9,,,,,,,,9
07054004-1021,7,Chiapas,54,Mazatán,004-1,21,12,220.635,054_004-1_021,5879.26631817,2187393.26695,054_004-1_021,,,,1,,,,,,,,1
07030001-6002,7,Chiapas,30,Chicomuselo,001-6,2,2,0.6641,030_001-6_002,336.277646877,6595.80004583,030_001-6_002,,,,1,,,,,,,,1
07005005-1004,7,Chiapas,5,Amatán,005-1,4,107,1039.2482,005_005-1_004,15272.3362358,10377842.1126,005_005-1_004,,,15,,,,,,,,,15
07077006-5007,7,Chiapas,77,Salto de Agua,006-5,7,9,208.2964,077_006-5_007,7310.26552322,2081359.58645,077_006-5_007,,,,5,,,,,,,,5
07099014-7010,7,Chiapas,99,La Trinitaria,014-7,10,21,24.4465,099_014-7_010,2024.29095101,242892.137343,099_014-7_010,,,,21,,,,,,,,21
07107016-A003,7,Chiapas,107,Villa Corzo,016-A,3,5,7.4397,107_016-A_003,1365.59853145,75566.8816993,107_016-A_003,,,,1,,,,,,,,1
07099013-2014,7,Chiapas,99,La Trinitaria,013-2,14,52,400.4988,099_013-2_014,8433.17113466,3977578.22453,099_013-2_014,,,,23,,,,,,,,23
07039004-5013,7,Chiapas,39,Huitiupán,004-5,13,254,538.6578,039_004-5_013,13229.6698532,5377087.61751,039_004-5_013,,,,16,,,,,,,,16
07108018-6014,7,Chiapas,108,Villaflores,018-6,14,3,61.9584,108_018-6_014,4236.22241556,616157.552702,108_018-6_014,,,,3,,,,,,,,3
07107024-4004,7,Chiapas,107,Villa Corzo,024-4,4,5,622.5814,107_024-4_004,11814.7956317,6184699.50194,107_024-4_004,,,,4,,,,,,,,4
07087003-8020,7,Chiapas,87,Suchiate,003-8,20,23,100.9098,087_003-8_020,4698.49298799,1012456.73746,087_003-8_020,,,,1,,,,,,,,1
07106007-3020,7,Chiapas,106,Venustiano Carranza,007-3,20,13,38.5663,106_007-3_020,2556.90637857,385279.700111,106_007-3_020,,,,1,,,,,,,,1
07004007-3009,7,Chiapas,4,Altamirano,007-3,9,638,1366.3249,004_007-3_009,20639.778394,13982841.3585,004_007-3_009,,,,388,,,,,,,,388
07061018-8001,7,Chiapas,61,Ocozocoautla de Espinosa,018-8,1,21,813.5055,061_018-8_001,17617.96435,8104124.80511,061_018-8_001,,,3,,,,,,,,,3
07046013-9016,7,Chiapas,46,Jiquipilas,013-9,16,3,450.0371,046_013-9_016,11436.2732496,4479225.37879,046_013-9_016,,,,2,,,,,,,,2
07003003-8009,7,Chiapas,3,Acapetahua,003-8,9,31,1247.5659,003_003-8_009,19670.5270317,12351552.4188,003_003-8_009,,,,25,,,,,,,,25
07107020-6009,7,Chiapas,107,Villa Corzo,020-6,9,7,712.2948,107_020-6_009,17672.4175862,7076721.58523,107_020-6_009,,,,5,,,,,,,,5
07065025-7008,7,Chiapas,65,Palenque,025-7,8,4,245.5854,065_025-7_008,10984.4167729,2453555.12337,065_025-7_008,,,,4,,,,,,,,4
07079003-6010,7,Chiapas,79,San Fernando,003-6,10,12,299.3772,079_003-6_010,10548.6544591,2985143.24668,079_003-6_010,,,,3,,,,,,,,3
07018001-1007,7,Chiapas,18,Coapilla,001-1,7,29,1124.736,018_001-1_007,17198.8529155,11223668.8521,018_001-1_007,,,,8,,,,,,,,8
07061020-5003,7,Chiapas,61,Ocozocoautla de Espinosa,020-5,3,23,1127.0888,061_020-5_003,18623.8107586,11221938.8228,061_020-5_003,,,,8,,,,,,,,8
07087002-3005,7,Chiapas,87,Suchiate,002-3,5,50,601.4938,087_002-3_005,12170.3526,5937228.53344,087_002-3_005,,,,2,,,,,,,,2
07045001-9013,7,Chiapas,45,Ixtapangajoya,001-9,13,10,531.5982,045_001-9_013,13826.0263333,5310790.61825,045_001-9_013,,,1,8,,,,,,,,9
07009004-6015,7,Chiapas,9,Arriaga,004-6,15,4,220.3019,009_004-6_015,9936.74916551,2191467.67291,009_004-6_015,,,,2,,,,,,,,2
07017024-5024,7,Chiapas,17,Cintalapa,024-5,24,6,1931.5751,017_024-5_024,19332.4429496,19234636.813,017_024-5_024,,,,6,,,,,,,,6
07030002-0007,7,Chiapas,30,Chicomuselo,002-0,7,10,189.44,030_002-0_007,7594.08268599,1880864.93462,030_002-0_007,,,3,4,,,,,,,,7
07037005-5023,7,Chiapas,37,Huehuetán,005-5,23,23,386.0763,037_005-5_023,8562.39935827,3816218.02554,037_005-5_023,,,,4,,,,,,,,4
07108010-A003,7,Chiapas,108,Villaflores,010-A,3,20,100.7407,108_010-A_003,4726.53046104,1002604.30901,108_010-A_003,,,,17,,,,,,,,17
07098002-7015,7,Chiapas,98,Totolapa,002-7,15,15,5.7371,098_002-7_015,1663.51916552,57104.4866081,098_002-7_015,,,,2,,,,,,,,2
07009021-A011,7,Chiapas,9,Arriaga,021-A,11,22,742.0773,009_021-A_011,15697.1387842,7376388.43618,009_021-A_011,,,,20,,,,,,,,20
07003003-8001,7,Chiapas,3,Acapetahua,003-8,1,7,487.9784,003_003-8_001,11647.7529298,4832364.84228,003_003-8_001,,,,4,,,,,,,,4
07061005-0002,7,Chiapas,61,Ocozocoautla de Espinosa,005-0,2,20,69.9739,061_005-0_002,5136.64129604,698271.050732,061_005-0_002,,,,8,,,,,,,,8
07077013-5019,7,Chiapas,77,Salto de Agua,013-5,19,110,165.6503,077_013-5_019,5493.18824623,1772188.99417,077_013-5_019,,,,5,,,,,,,,5
07061012-0008,7,Chiapas,61,Ocozocoautla de Espinosa,012-0,8,45,684.279,061_012-0_008,16310.6455604,6962468.82177,061_012-0_008,,,,5,,,,,,,,5
07061003-1013,7,Chiapas,61,Ocozocoautla de Espinosa,003-1,13,168,1435.2095,061_003-1_013,16557.5492382,14563233.6653,061_003-1_013,,,25,84,,,,,,,,109
07027005-9007,7,Chiapas,27,Chiapa de Corzo,005-9,7,62,118.0668,027_005-9_007,4636.11560278,1330208.77124,027_005-9_007,,,,5,,,,,,,,5
07061013-5006,7,Chiapas,61,Ocozocoautla de Espinosa,013-5,6,93,829.7447,061_013-5_006,16965.0942586,8270179.84872,061_013-5_006,,,1,8,,,,,,,,9
07048008-2006,7,Chiapas,48,Juárez,008-2,6,16,505.2107,048_008-2_006,10847.4185749,5050510.5929,048_008-2_006,,,,14,,,,,,,,14
07051013-9006,7,Chiapas,51,Mapastepec,013-9,6,52,516.6691,051_013-9_006,10341.6065494,5508970.31107,051_013-9_006,,,,8,,,,,,,,8
07017014-1009,7,Chiapas,17,Cintalapa,014-1,9,11,575.8145,017_014-1_009,11726.8206757,5738056.33054,017_014-1_009,,,,4,,,,,,,,4
07006001-0001,7,Chiapas,6,Amatenango de la Frontera,001-0,1,1132,3523.5508,006_001-0_001,26283.9236796,36419702.0582,006_001-0_001,,,,2,,,,,,,,2
07074002-5008,7,Chiapas,74,Reforma,002-5,8,57,560.0099,074_002-5_008,14409.7036425,6145393.05112,074_002-5_008,,,,32,,,,,,,,32
07077008-4016,7,Chiapas,77,Salto de Agua,008-4,16,35,192.6449,077_008-4_016,7570.99447391,2052745.95126,077_008-4_016,,,,13,,,,,,,,13
07107014-0004,7,Chiapas,107,Villa Corzo,014-0,4,5,176.6978,107_014-0_004,8207.55908386,1756678.19427,107_014-0_004,,,,1,,,,,,,,1
07001002-9005,7,Chiapas,1,Acacoyagua,002-9,5,206,2651.8942,001_002-9_005,21788.0824264,26447450.7179,001_002-9_005,,,,34,,,,,,,,34
07069014-8004,7,Chiapas,69,Pijijiapan,014-8,4,53,551.2742,069_014-8_004,12145.3862078,5620964.18482,069_014-8_004,,,,41,,,,,,,,41
07017022-6012,7,Chiapas,17,Cintalapa,022-6,12,4,612.4424,017_022-6_012,11036.9968757,6099737.56688,017_022-6_012,,,,1,,,,,,,,1
07099016-6016,7,Chiapas,99,La Trinitaria,016-6,16,59,92.8486,099_016-6_016,5860.00844402,986300.507307,099_016-6_016,,,,13,,,,,,,,13
07069011-4034,7,Chiapas,69,Pijijiapan,011-4,34,30,367.9784,069_011-4_034,9746.47316657,4494071.80679,069_011-4_034,,,,25,,,,,,,,25
07061003-1021,7,Chiapas,61,Ocozocoautla de Espinosa,003-1,21,63,800.2818,061_003-1_021,12521.2828347,8146386.45099,061_003-1_021,,,,53,,,,,,1,,54
07005003-2001,7,Chiapas,5,Amatán,003-2,1,40,114.0804,005_003-2_001,4560.28782379,1177701.35197,005_003-2_001,,,1,1,,,,,,,,2
07116011-6009,7,Chiapas,116,Marqués de Comillas,011-6,9,90,4719.2142,116_011-6_009,30117.4293344,49705631.9133,116_011-6_009,,,1,37,,,,,,,,38
07068004-7005,7,Chiapas,68,Pichucalco,004-7,5,44,976.153,068_004-7_005,16521.9614948,9755391.93969,068_004-7_005,,,,27,,,,,,,,27
07016007-4009,7,Chiapas,16,Catazajá,007-4,9,43,303.5409,016_007-4_009,8299.32982951,3350774.96125,016_007-4_009,,,2,33,,,,,,,,35
07065018-7014,7,Chiapas,65,Palenque,018-7,14,7,44.4811,065_018-7_014,3278.07452693,472283.072886,065_018-7_014,,,,5,,,,,,,,5
07034006-8006,7,Chiapas,34,Frontera Comalapa,006-8,6,45,913.7378,034_006-8_006,19530.1790265,9066940.84861,034_006-8_006,,,,2,,,,,,,,2
07108009-7025,7,Chiapas,108,Villaflores,009-7,25,140,445.9879,108_009-7_025,9539.79419594,4446610.33537,108_009-7_025,,,,24,,,,,,,,24
07054005-6008,7,Chiapas,54,Mazatán,005-6,8,3,553.0351,054_005-6_008,11165.1663541,5464083.95472,054_005-6_008,,,,1,,,,,,,,1
07074003-A005,7,Chiapas,74,Reforma,003-A,5,39,1852.3794,074_003-A_005,24986.1957859,18533166.2043,074_003-A_005,,,,33,,,,,,,,33
07107016-A008,7,Chiapas,107,Villa Corzo,016-A,8,13,776.029,107_016-A_008,12811.2084319,7710565.4514,107_016-A_008,,,,11,,,,,,,,11
07115003-4004,7,Chiapas,115,Maravilla Tenejapa,003-4,4,59,1097.3401,115_003-4_004,17596.6007909,10922502.9557,115_003-4_004,,,,18,,,,,,,,18
07071002-3018,7,Chiapas,71,Villa Comaltitlán,002-3,18,56,501.7348,071_002-3_018,9691.01682211,5379479.95414,071_002-3_018,,,,25,,,,,,2,,27
07009009-9006,7,Chiapas,9,Arriaga,009-9,6,33,1018.9684,009_009-9_006,16882.8196022,10285244.7734,009_009-9_006,,,,24,,,,,,,,24
07086003-0016,7,Chiapas,86,Suchiapa,003-0,16,58,72.0361,086_003-0_016,6320.76090992,809677.246986,086_003-0_016,,,1,,,,,,,,,1
07071003-8015,7,Chiapas,71,Villa Comaltitlán,003-8,15,28,111.4308,071_003-8_015,5678.9066711,1207313.01866,071_003-8_015,,,,12,,,,,,,,12
07051013-9017,7,Chiapas,51,Mapastepec,013-9,17,86,479.084,051_013-9_017,10504.8344969,5399271.10776,051_013-9_017,,,,13,,,,,,,,13
07030008-8012,7,Chiapas,30,Chicomuselo,008-8,12,47,295.7332,030_008-8_012,7258.73117342,2951381.49542,030_008-8_012,,,2,38,,,,,,,,40
07051013-9007,7,Chiapas,51,Mapastepec,013-9,7,73,390.8522,051_013-9_007,10042.8298601,4156773.81143,051_013-9_007,,,,4,,,,,,,,4
07096003-7006,7,Chiapas,96,Tila,003-7,6,186,1183.0158,096_003-7_006,15425.4511363,11821648.0604,096_003-7_006,,,,48,,,,,,,,48
07068007-0011,7,Chiapas,68,Pichucalco,007-0,11,34,704.2505,068_007-0_011,15570.851692,7036460.89493,068_007-0_011,,,1,33,,,,,,,,34
07032005-9030,7,Chiapas,32,Escuintla,005-9,30,13,17.1202,032_005-9_030,1751.04414867,170032.480362,032_005-9_030,,,,1,,,,,,,,1
07014002-7004,7,Chiapas,14,El Bosque,002-7,4,771,2059.851,014_002-7_004,25285.2151348,20548800.0974,014_002-7_004,,,,2,,,,,,,,2
07107016-A004,7,Chiapas,107,Villa Corzo,016-A,4,77,254.8065,107_016-A_004,7623.47773564,2602482.91591,107_016-A_004,,,3,63,,,,,,,,66
07102002-1018,7,Chiapas,102,Tuxtla Chico,002-1,18,41,211.4961,102_002-1_018,7269.44447904,2089981.16787,102_002-1_018,,,,12,,,,,,,,12
07068005-1006,7,Chiapas,68,Pichucalco,005-1,6,41,1232.9098,068_005-1_006,22951.178631,12321803.9054,068_005-1_006,,,,21,,,,,,,,21
07032005-9041,7,Chiapas,32,Escuintla,005-9,41,45,73.5495,032_005-9_041,3939.38152381,758518.635459,032_005-9_041,,,,2,,,,,,1,,3
07068007-0006,7,Chiapas,68,Pichucalco,007-0,6,42,384.1842,068_007-0_006,11476.8764778,3838806.22873,068_007-0_006,,,,10,,,,,,,,10
07108026-0007,7,Chiapas,108,Villaflores,026-0,7,23,359.6702,108_026-0_007,14941.0323021,3575907.27921,108_026-0_007,,,,5,,,,,,,,5
07069016-7009,7,Chiapas,69,Pijijiapan,016-7,9,34,234.6361,069_016-7_009,12453.2784446,2657458.83946,069_016-7_009,,,,23,,,,,,,,23
07068007-0010,7,Chiapas,68,Pichucalco,007-0,10,35,588.815,068_007-0_010,15373.4113877,5883338.67343,068_007-0_010,,,1,9,,,,,,,,10
07017025-A009,7,Chiapas,17,Cintalapa,025-A,9,318,498.3563,017_025-A_009,12797.2883042,5612473.07028,017_025-A_009,,,,106,,,,,,1,,107
07001004-8011,7,Chiapas,1,Acacoyagua,004-8,11,318,1072.9574,001_004-8_011,15559.3076687,11079326.043,001_004-8_011,,,,48,,,,,,,,48
07008003-4011,7,Chiapas,8,Angel Albino Corzo,003-4,11,4,17.518,008_003-4_011,2162.19523622,173784.980501,008_003-4_011,,,,1,,,,,,,,1
07020014-7012,7,Chiapas,20,La Concordia,014-7,12,66,155.43,020_014-7_012,4941.33306622,1542741.70149,020_014-7_012,,,,4,,,,,,,,4
07092017-A012,7,Chiapas,92,Tecpatán,017-A,12,1,8.0102,092_017-A_012,1574.32706711,79923.8574271,092_017-A_012,,,,,,,,,,1,,1
07059013-7003,7,Chiapas,59,Ocosingo,013-7,3,22,1358.72,059_013-7_003,16183.7004102,13561208.9306,059_013-7_003,,,,1,,,,,,,,1
07027010-A013,7,Chiapas,27,Chiapa de Corzo,010-A,13,263,2470.0173,027_010-A_013,22919.8438013,24650131.0778,027_010-A_013,,,,48,,,,,,,,48
07001004-8014,7,Chiapas,1,Acacoyagua,004-8,14,331,451.4125,001_004-8_014,17771.6001356,4657848.76011,001_004-8_014,,,1,34,,,,,,,1,36
07108007-8014,7,Chiapas,108,Villaflores,007-8,14,16,317.7203,108_007-8_014,7219.8814778,3161966.69562,108_007-8_014,,,,8,,,,,,,,8
07046010-5024,7,Chiapas,46,Jiquipilas,010-5,24,25,80.7635,046_010-5_024,4936.09602175,881785.719096,046_010-5_024,,,1,,,,,,,,1,2
07012003-7025,7,Chiapas,12,Berriozábal,003-7,25,13,58.9814,012_003-7_025,4141.87614412,588172.548694,012_003-7_025,,,4,4,,,,,,,,8
07034009-1001,7,Chiapas,34,Frontera Comalapa,009-1,1,31,481.8888,034_009-1_001,9688.15590107,4780653.6784,034_009-1_001,,,,12,,,,,,,,12
07019018-4002,7,Chiapas,19,Comitán de Domínguez,018-4,2,36,1405.0853,019_018-4_002,17987.514908,13963826.4028,019_018-4_002,,,,11,,,,,,,,11
07061008-4007,7,Chiapas,61,Ocozocoautla de Espinosa,008-4,7,13,563.4995,061_008-4_007,17389.5375204,5621073.19786,061_008-4_007,,,,5,,,,,,,,5
07017017-5003,7,Chiapas,17,Cintalapa,017-5,3,139,4607.4206,017_017-5_003,32138.2272684,45914299.7314,017_017-5_003,,,,49,,,,,,,,49
07081004-9003,7,Chiapas,81,Simojovel,004-9,3,46,118.749,081_004-9_003,8461.19693927,1185048.51728,081_004-9_003,,,,3,,,,,,,,3
07092016-5003,7,Chiapas,92,Tecpatán,016-5,3,39,649.8918,092_016-5_003,12941.0348847,6485906.27821,092_016-5_003,,,,17,,,,,,,,17
07079005-5006,7,Chiapas,79,San Fernando,005-5,6,4,324.1057,079_005-5_006,7668.78747277,3230849.08936,079_005-5_006,,,,2,,,,,,,,2
07116008-4008,7,Chiapas,116,Marqués de Comillas,008-4,8,119,2484.0084,116_008-4_008,25981.5662795,24727732.3408,116_008-4_008,,,7,14,,,,,,,,21
07079003-6007,7,Chiapas,79,San Fernando,003-6,7,72,1034.2542,079_003-6_007,15186.7643621,11009050.3515,079_003-6_007,,,,1,,,,,,,,1
07097014-2007,7,Chiapas,97,Tonalá,014-2,7,2,6854.8476,097_014-2_007,58770.9246333,68069309.0446,097_014-2_007,,,,1,,,,,,,,1
07017019-4009,7,Chiapas,17,Cintalapa,019-4,9,16,21.247,017_019-4_009,2116.86788925,211708.371276,017_019-4_009,,,,3,,,,,,,,3
07107011-7018,7,Chiapas,107,Villa Corzo,011-7,18,3,798.1467,107_011-7_018,12614.728202,7932262.6645,107_011-7_018,,,,1,,,,,,,,1
07017029-8009,7,Chiapas,17,Cintalapa,029-8,9,213,504.6539,017_029-8_009,25307.7285611,11388382.1682,017_029-8_009,,,,62,,,,,,,,62
07009021-A017,7,Chiapas,9,Arriaga,021-A,17,5,43.3877,009_021-A_017,2775.95105548,431231.353632,009_021-A_017,,,,1,,,,,,1,,2
07019018-4010,7,Chiapas,19,Comitán de Domínguez,018-4,10,37,950.6744,019_018-4_010,20750.6668958,9445453.17369,019_018-4_010,,,,8,,,,,,,,8
07108013-3011,7,Chiapas,108,Villaflores,013-3,11,29,854.461,108_013-3_011,12699.903888,8500179.48573,108_013-3_011,,,,6,,,,,,,,6
07092013-1012,7,Chiapas,92,Tecpatán,013-1,12,38,473.4213,092_013-1_012,33385.896776,4724941.7621,092_013-1_012,,,11,16,,,,,,,,27
07107010-2012,7,Chiapas,107,Villa Corzo,010-2,12,11,1292.2341,107_010-2_012,22026.0705886,12842509.2541,107_010-2_012,,,,5,,,,,,,,5
07040006-5014,7,Chiapas,40,Huixtla,006-5,14,94,848.0241,040_006-5_014,14948.140115,8368807.28988,040_006-5_014,,,,9,,,,,,,,9
07051012-4017,7,Chiapas,51,Mapastepec,012-4,17,7,701.3318,051_012-4_017,11147.7894813,6945130.25035,051_012-4_017,,,,7,,,,,,,,7
07065008-3014,7,Chiapas,65,Palenque,008-3,14,15,450.5441,065_008-3_014,13580.2232162,4504660.30744,065_008-3_014,,,1,8,,,,,,,,9
07065020-4019,7,Chiapas,65,Palenque,020-4,19,16,49.2849,065_020-4_019,3433.98953435,528389.501065,065_020-4_019,,,,1,,,,,,,,1
07002005-A011,7,Chiapas,2,Acala,005-A,11,4,97.5733,002_005-A_011,7118.85278226,971112.473473,002_005-A_011,,,,2,,,,,,,,2
07012003-7024,7,Chiapas,12,Berriozábal,003-7,24,15,53.0171,012_003-7_024,3262.20366054,528746.387646,012_003-7_024,,,,11,,,,,,,,11
07059032-A025,7,Chiapas,59,Ocosingo,032-A,25,66,127.1831,059_032-A_025,5396.71822582,1349725.70888,059_032-A_025,,,,6,,,,,,,,6
07017018-A023,7,Chiapas,17,Cintalapa,018-A,23,52,340.5543,017_018-A_023,8912.96472906,3494305.22468,017_018-A_023,,,,8,,,,,,1,2,11
07065002-6001,7,Chiapas,65,Palenque,002-6,1,5,1079.9298,065_002-6_001,15721.3053643,10806346.5166,065_002-6_001,,,,5,,,,,,,,5
07016011-0002,7,Chiapas,16,Catazajá,011-0,2,15,166.1505,016_011-0_002,10118.0968238,1661821.60078,016_011-0_002,,,,11,,,,,,,1,12
07046015-8008,7,Chiapas,46,Jiquipilas,015-8,8,46,170.5698,046_015-8_008,5629.05406564,1732830.1696,046_015-8_008,,,,20,,,,,,,,20
07008003-4003,7,Chiapas,8,Angel Albino Corzo,003-4,3,27,1065.3849,008_003-4_003,20063.6755134,10572106.6559,008_003-4_003,,,,8,,,,,,,,8
07017025-A003,7,Chiapas,17,Cintalapa,025-A,3,12,1718.9828,017_025-A_003,21242.5633657,17117913.8511,017_025-A_003,,,,7,,,,,,,,7
07020021-7003,7,Chiapas,20,La Concordia,021-7,3,4,358.6545,020_021-7_003,8208.31647911,3559716.85858,020_021-7_003,,,,2,,,,,,,,2
07087002-3008,7,Chiapas,87,Suchiate,002-3,8,58,358.2006,087_002-3_008,9247.77209033,3767742.54053,087_002-3_008,,,,8,,,,,,,,8
07108009-7004,7,Chiapas,108,Villaflores,009-7,4,170,824.3238,108_009-7_004,13983.1322024,8204161.28768,108_009-7_004,,,1,19,,,,,,,,20
07030004-A019,7,Chiapas,30,Chicomuselo,004-A,19,42,56.1398,030_004-A_019,4224.95806219,646864.794015,030_004-A_019,,,,2,,,,,,,,2
07034007-2006,7,Chiapas,34,Frontera Comalapa,007-2,6,9,507.867,034_007-2_006,9794.66496211,5039374.04136,034_007-2_006,,,,3,,,,,,,,3
07107006-6006,7,Chiapas,107,Villa Corzo,006-6,6,21,1176.7718,107_006-6_006,18422.0594155,11703319.1154,107_006-6_006,,,,16,,,,,,,,16
07072003-5008,7,Chiapas,72,Pueblo Nuevo Solistahuacán,003-5,8,534,935.6201,072_003-5_008,16031.3067338,9461237.5628,072_003-5_008,,,,114,,,,,,,,114
07107027-8009,7,Chiapas,107,Villa Corzo,027-8,9,38,2636.6243,107_027-8_009,25669.433511,26172892.3032,107_027-8_009,,,,6,,,,,,,,6
07097013-8011,7,Chiapas,97,Tonalá,013-8,11,116,454.7231,097_013-8_011,14332.4071065,4901508.96449,097_013-8_011,,,,28,,,,,,,,28
07079002-1012,7,Chiapas,79,San Fernando,002-1,12,183,438.1644,079_002-1_012,12403.7038994,4384259.43128,079_002-1_012,,,,52,,,,,,,,52
07107005-1012,7,Chiapas,107,Villa Corzo,005-1,12,6,419.5781,107_005-1_012,9915.33125583,4172894.91459,107_005-1_012,,,,4,,,,,,,,4
07108017-1015,7,Chiapas,108,Villaflores,017-1,15,17,217.6306,108_017-1_015,6248.17235809,2165150.42411,108_017-1_015,,,,16,,,,,,,,16
07089028-2014,7,Chiapas,89,Tapachula,028-2,14,15,124.1325,089_028-2_014,6433.77834016,1226105.08718,089_028-2_014,,,2,1,,,,,,,,3
07069011-4022,7,Chiapas,69,Pijijiapan,011-4,22,14,219.3121,069_011-4_022,7555.50323678,2173814.11165,069_011-4_022,,,,13,,,,,,,,13
07027008-2035,7,Chiapas,27,Chiapa de Corzo,008-2,35,4,245.4021,027_008-2_035,6410.58639084,2442954.85896,027_008-2_035,,,,2,,,,,,,,2
07107020-6024,7,Chiapas,107,Villa Corzo,020-6,24,159,863.0321,107_020-6_024,15111.4354592,9037001.62341,107_020-6_024,,,,61,31,,,,,,,92
07044003-0001,7,Chiapas,44,Ixtapa,003-0,1,45,437.3637,044_003-0_001,9377.18219512,4358928.57795,044_003-0_001,,,,15,,,,,,,,15
07063001-7010,7,Chiapas,63,Osumacinta,001-7,10,3,876.8723,063_001-7_010,20210.0078369,8740619.63698,063_001-7_010,,,,1,,,,,,,,1
07065005-A001,7,Chiapas,65,Palenque,005-A,1,4,659.3172,065_005-A_001,12879.4164606,6595026.3199,065_005-A_001,,,,1,,,,,,1,,2
07016004-0005,7,Chiapas,16,Catazajá,004-0,5,4,250.5348,016_004-0_005,8478.92792834,2506504.07774,016_004-0_005,,,,4,,,,,,,,4
07059034-9007,7,Chiapas,59,Ocosingo,034-9,7,17,201.433,059_034-9_007,8632.1089585,2009076.62588,059_034-9_007,,,,1,,,,,,,,1
07069002-5041,7,Chiapas,69,Pijijiapan,002-5,41,8,43.905,069_002-5_041,3000.08342293,435625.847421,069_002-5_041,,,,1,,,,,,,,1
07087003-8001,7,Chiapas,87,Suchiate,003-8,1,21,19.2655,087_003-8_001,2384.80072001,190186.357466,087_003-8_001,,,,2,,,,,,,,2
07107020-6017,7,Chiapas,107,Villa Corzo,020-6,17,88,230.5212,107_020-6_017,6444.23128718,2327022.68921,107_020-6_017,,,,61,,,,,,,,61
07045001-9009,7,Chiapas,45,Ixtapangajoya,001-9,9,31,491.2043,045_001-9_009,16212.9152799,4907784.81507,045_001-9_009,,,,13,,,,,,,,13
07051004-A013,7,Chiapas,51,Mapastepec,004-A,13,110,1379.85,051_004-A_013,24795.7159013,13872729.7615,051_004-A_013,,,,46,,,,,,,,46
07083008-1014,7,Chiapas,83,Socoltenango,008-1,14,275,730.0217,083_008-1_014,13693.0141064,7805172.78225,083_008-1_014,,1,6,101,,,,,,,,108
07046010-5016,7,Chiapas,46,Jiquipilas,010-5,16,58,128.7985,046_010-5_016,5219.50144856,1288850.99098,046_010-5_016,,,,8,,,,,,,,8
07108019-0009,7,Chiapas,108,Villaflores,019-0,9,263,1093.8911,108_019-0_009,27093.464989,11119355.9784,108_019-0_009,,,,99,,,,,,,,99
07107023-A015,7,Chiapas,107,Villa Corzo,023-A,15,13,258.8399,107_023-A_015,8138.27659375,2570526.94437,107_023-A_015,,,,1,,,,,,,,1
07005001-3017,7,Chiapas,5,Amatán,001-3,17,72,178.1419,005_001-3_017,7751.08790757,1780964.53811,005_001-3_017,,,3,15,,,,,,,,18
07040008-4021,7,Chiapas,40,Huixtla,008-4,21,16,119.3122,040_008-4_021,4896.78800893,1179170.87938,040_008-4_021,,,,2,,,,,,,,2
07099013-2001,7,Chiapas,99,La Trinitaria,013-2,1,12,605.4125,099_013-2_001,14734.492318,6015071.25751,099_013-2_001,,,,3,,,,,,,,3
07027006-3023,7,Chiapas,27,Chiapa de Corzo,006-3,23,135,409.8128,027_006-3_023,9411.10652059,4100699.0949,027_006-3_023,,,,10,,,,,,,,10
07040006-5023,7,Chiapas,40,Huixtla,006-5,23,2,31.974,040_006-5_023,2679.06580327,316369.147221,040_006-5_023,,,,2,,,,,,,,2
07062003-9001,7,Chiapas,62,Ostuacán,003-9,1,7,165.2686,062_003-9_001,5714.36341354,1651394.65736,062_003-9_001,,,1,1,,,,,,,1,3
