control,cve_ent,nom_ent,cve_mun,nom_mun,cve_ageb,cve_mza,terrenos,sup_total,cve_concat,shape_leng,shape_area,contclave,aceituno,achiotillo,acote,aguacacima,aguacatill,alamo,algodoncil,amate,baqueta,barranco,bobchiche,campanillo,canelito,cante,caoba,caobilla,caracolill,carbon,cascarillo,cedro,cedroespin,cedron,ceiba,chalum,chumish,cipres,coleto,copal,copalche,corcho,cuaulote,encino,espinanegr,espinonegr,florasilve,fresnogiga,frijolillo,guaciban,guaje,guayabillo,hormiguill,huamuche,hulehevea,jarilarbol,jobillo,laurel,lena,limoncillo,macablanca,madredecac,mangle,marinero,matabuey,melina,nisperozap,ocotillo,oyamel,palmachaca,palocortes,palocedril,palovamari,pinabete,pino,pinolillo,popiste,primavera,roble,saucelloro,teca,tepemezqui,zapotefais,zapotillo,f_total
07017016-0002,7,Chiapas,17,Cintalapa,016-0,2,4,860.7145,017_016-0_002,18458.8427797,8577942.99579,017_016-0_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07027009-7003,7,Chiapas,27,Chiapa de Corzo,009-7,3,27,366.0632,027_009-7_003,8965.38987192,3643858.69367,027_009-7_003,,,,,,,,,,,,,,,22,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
07061016-9003,7,Chiapas,61,Ocozocoautla de Espinosa,016-9,3,475,946.7211,061_016-9_003,18100.3612624,10071641.4706,061_016-9_003,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
07065002-6003,7,Chiapas,65,Palenque,002-6,3,55,699.412,065_002-6_003,10867.5872883,6998774.69622,065_002-6_003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07077013-5004,7,Chiapas,77,Salto de Agua,013-5,4,170,592.6431,077_013-5_004,10402.700256,6046024.70491,077_013-5_004,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07044002-6004,7,Chiapas,44,Ixtapa,002-6,4,1052,727.2779,044_002-6_004,15794.3709717,7594067.50584,044_002-6_004,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017012-2001,7,Chiapas,17,Cintalapa,012-2,1,52,2164.7548,017_012-2_001,20893.5331541,21578585.2698,017_012-2_001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,52
07108021-8015,7,Chiapas,108,Villaflores,021-8,15,100,1006.8776,108_021-8_015,19688.3815547,10116457.9253,108_021-8_015,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,42
07017011-8016,7,Chiapas,17,Cintalapa,011-8,16,257,1311.6542,017_011-8_016,16884.97765,13308057.7316,017_011-8_016,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07057005-8009,7,Chiapas,57,Motozintla,005-8,9,1497,2750.8776,057_005-8_009,35689.402847,27729493.7844,057_005-8_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,4,,,,,,,,,,9
07116011-6012,7,Chiapas,116,Marqués de Comillas,011-6,12,230,4726.4592,116_011-6_012,36118.9884503,48195183.972,116_011-6_012,,,,,,,,,,,,,,,9,1,,,,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,8,,,,,,,,,37
07020009-6009,7,Chiapas,20,La Concordia,009-6,9,5,2212.1231,020_009-6_009,28356.1902522,21974284.523,020_009-6_009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2
07107012-1014,7,Chiapas,107,Villa Corzo,012-1,14,169,423.9177,107_012-1_014,9209.32509403,4217911.23121,107_012-1_014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,15,,,,,,19
07041012-8019,7,Chiapas,41,La Independencia,012-8,19,15,9.7927,041_012-8_019,1815.00906978,97400.2193037,041_012-8_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
07020006-2014,7,Chiapas,20,La Concordia,006-2,14,312,1735.6811,020_006-2_014,26264.4602945,19138618.2756,020_006-2_014,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017014-1002,7,Chiapas,17,Cintalapa,014-1,2,285,1689.6673,017_014-1_002,19041.4957711,17334486.5133,017_014-1_002,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,15
07046011-A006,7,Chiapas,46,Jiquipilas,011-A,6,223,1102.1305,046_011-A_006,24452.445867,11092476.2782,046_011-A_006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07077003-1008,7,Chiapas,77,Salto de Agua,003-1,8,20,429.5491,077_003-1_008,8803.20104289,4293628.99496,077_003-1_008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
07106008-8013,7,Chiapas,106,Venustiano Carranza,008-8,13,222,547.9041,106_008-8_013,11834.6777527,5497672.16227,106_008-8_013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
07013004-9002,7,Chiapas,13,Bochil,004-9,2,50,464.8254,013_004-9_002,12263.5980377,4636601.49673,013_004-9_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
07083003-9009,7,Chiapas,83,Socoltenango,003-9,9,288,630.1933,083_003-9_009,12486.1113082,6415801.72782,083_003-9_009,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07044003-0019,7,Chiapas,44,Ixtapa,003-0,19,82,44.8587,044_003-0_019,7684.90952304,504322.099338,044_003-0_019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
07046005-4010,7,Chiapas,46,Jiquipilas,005-4,10,174,1659.9661,046_005-4_010,33542.3596926,16908419.6534,046_005-4_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1
07017021-1015,7,Chiapas,17,Cintalapa,021-1,15,310,465.0562,017_021-1_015,9823.50566276,4916378.6516,017_021-1_015,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
07021004-0017,7,Chiapas,21,Copainalá,004-0,17,36,268.1604,021_004-0_017,7090.48482723,2674921.11901,021_004-0_017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07023003-0001,7,Chiapas,23,Chamula,003-0,1,4690,10162.7497,023_003-0_001,52566.4888586,101287095.234,023_003-0_001,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,31,,,,,,,,,,38
07115002-A001,7,Chiapas,115,Maravilla Tenejapa,002-A,1,382,1883.2894,115_002-A_001,21343.567149,19085132.398,115_002-A_001,,,,,,,,2,,,,,,1,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12
07015003-9003,7,Chiapas,15,Cacahoatán,003-9,3,55,354.8672,015_003-9_003,11848.9966062,3509266.11624,015_003-9_003,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
07061021-A002,7,Chiapas,61,Ocozocoautla de Espinosa,021-A,2,922,7264.665,061_021-A_002,52283.7406735,74585935.7175,061_021-A_002,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017014-1007,7,Chiapas,17,Cintalapa,014-1,7,167,2129.0367,017_014-1_007,22115.0442236,21399172.6289,017_014-1_007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07019017-A005,7,Chiapas,19,Comitán de Domínguez,017-A,5,220,655.1245,019_017-A_005,11582.6462758,6594251.06488,019_017-A_005,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07108019-0002,7,Chiapas,108,Villaflores,019-0,2,294,994.5178,108_019-0_002,17001.5073823,10090683.879,108_019-0_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07061010-1011,7,Chiapas,61,Ocozocoautla de Espinosa,010-1,11,35,512.0045,061_010-1_011,20326.7922513,5105018.96837,061_010-1_011,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
07081004-9012,7,Chiapas,81,Simojovel,004-9,12,424,181.5362,081_004-9_012,6611.07856143,1866381.46095,081_004-9_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
07017021-1013,7,Chiapas,17,Cintalapa,021-1,13,322,867.4984,017_021-1_013,23412.4973844,17176034.633,017_021-1_013,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3
