"","AC","cve_Entidad","Entidad","cvd_Municipio","Municipio","cve_AGEB","cve_Manzana","Terrenos_totales","Superficie_total","Terrenos_con_actividad_forestal","Terrenos_con_actividad_pecuaria","Terrenos_con_actividad_agricola","Superfice_carto_agricola","Superficie_sembrada","Terreno_promedio_ha_total","Terreno_promedio_aricola","Porcentaje_terrenos_forestal","Porcentaje_terrenos_pecuario","Porcentaje_terrenos_agricola","Porcentaje_ocupado"
"216","07003006-1014","07","Chiapas","003","Acapetahua","006-1","014","11",766.268,1,9,14,1,39.9092,7581836.05882,69.6607272727273,0.0909090909090909,0.818181818181818,0.0909090909090909,1
"217","07003006-1015","07","Chiapas","003","Acapetahua","006-1","015","34",779.8817,0,29,15,1,3.5056,7716503.70284,22.9376970588235,0,0.852941176470588,0.0294117647058824,0.882352941176471
"218","07003006-1016","07","Chiapas","003","Acapetahua","006-1","016","18",537.8783,0,14,16,3,55.7783,6743228.446,29.8821277777778,0,0.777777777777778,0.166666666666667,0.944444444444444
"219","07003006-1017","07","Chiapas","003","Acapetahua","006-1","017","48",151.5671,0,2,51,38,106.6446,4499164.94832,9.47294375,0,0.0416666666666667,0.791666666666667,0.833333333333333
"220","07003006-1018","07","Chiapas","003","Acapetahua","006-1","018","274",1044.7182,0,7,54,251,963.5163,34343959.9017,11.4385204379562,0,0.0255474452554745,0.916058394160584,0.941605839416058
"221","07003006-1021","07","Chiapas","003","Acapetahua","006-1","021","1",88.7903,0,1,0,0,0,0,0,0,1,0,1
"222","07003006-1022","07","Chiapas","003","Acapetahua","006-1","022","31",734.6434,0,5,44,24,401.451,14536303.14738,47.3963483870968,0,0.161290322580645,0.774193548387097,0.935483870967742
"223","07003006-1023","07","Chiapas","003","Acapetahua","006-1","023","11",601.5152,0,1,23,2,109.3664,5950938.45461,54.6832,0,0.0909090909090909,0.181818181818182,0.272727272727273
"224","07003006-1024","07","Chiapas","003","Acapetahua","006-1","024","2",47.2924,0,1,24,1,23.6462,3931066.56513,23.6462,0,0.5,0.5,1
"225","07003006-1025","07","Chiapas","003","Acapetahua","006-1","025","19",97.7569,0,3,25,9,46.3059,967072.296718,5.1451,0,0.157894736842105,0.473684210526316,0.631578947368421
"226","07003006-1026","07","Chiapas","003","Acapetahua","006-1","026","13",257.3433,0,9,26,4,14.136,2555599.82212,19.7956384615385,0,0.692307692307692,0.307692307692308,1
"227","07003006-1027","07","Chiapas","003","Acapetahua","006-1","027","11",18.117,0,1,0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909
"228","07003006-1028","07","Chiapas","003","Acapetahua","006-1","028","18",51.4996,0,3,56,6,17.3098,1072769.84463,5.72217777777778,0,0.166666666666667,0.333333333333333,0.5
"229","07003007-6001","07","Chiapas","003","Acapetahua","007-6","001","16",10500.8635,0,6,0,0,0,0,0,0,0.375,0,0.375
"230","07003007-6005","07","Chiapas","003","Acapetahua","007-6","005","1",96.7396,0,0,5,1,96.7396,3827215.7328,96.7396,0,0,1,1
"231","07003007-6007","07","Chiapas","003","Acapetahua","007-6","007","23",166.0399,0,0,0,0,0,0,0,0,0,0,0
"232","07003007-6008","07","Chiapas","003","Acapetahua","007-6","008","6",52.7641,0,0,0,0,0,0,0,0,0,0,0
"233","07003007-6010","07","Chiapas","003","Acapetahua","007-6","010","1",156.7761,0,0,0,0,0,0,0,0,0,0,0
"234","07004002-0001","07","Chiapas","004","Altamirano","002-0","001","1",20.1267,0,0,0,0,0,0,0,0,0,0,0
"235","07004002-0003","07","Chiapas","004","Altamirano","002-0","003","9",33.4737,0,0,9,3,11.1579,1001183.957628,11.1579,0,0,0.333333333333333,0.333333333333333
"236","07004002-0004","07","Chiapas","004","Altamirano","002-0","004","14",42.707,0,8,8,5,15.2525,851540.430426,6.101,0,0.571428571428571,0.357142857142857,0.928571428571429
"237","07004002-0005","07","Chiapas","004","Altamirano","002-0","005","474",1578.4353,0,124,25,223,975.7402,81891223.243,16.6501613924051,0,0.261603375527426,0.470464135021097,0.732067510548523
"238","07004002-0007","07","Chiapas","004","Altamirano","002-0","007","7",1214.8185,0,0,7,5,867.7275,12109053.7205,173.5455,0,0,0.714285714285714,0.714285714285714
"239","07004002-0009","07","Chiapas","004","Altamirano","002-0","009","54",2477.085,0,5,27,30,970.05,74069257.7352,137.615833333333,0,0.0925925925925926,0.555555555555556,0.648148148148148
"240","07004002-0012","07","Chiapas","004","Altamirano","002-0","012","3",360.291,0,2,12,1,120.097,3590650.51439,120.097,0,0.666666666666667,0.333333333333333,1
"241","07004003-5001","07","Chiapas","004","Altamirano","003-5","001","31",432.8437,0,0,3,24,335.1048,12944636.70063,41.8881,0,0,0.774193548387097,0.774193548387097
"242","07004003-5002","07","Chiapas","004","Altamirano","003-5","002","27",1514.1682,0,0,2,26,706.965,15094021.9989,56.0803037037037,0,0,0.962962962962963,0.962962962962963
"243","07004003-5005","07","Chiapas","004","Altamirano","003-5","005","13",1067.3806,0,4,10,8,685.2569,21279327.7156,164.2124,0,0.307692307692308,0.615384615384615,0.923076923076923
"244","07004003-5006","07","Chiapas","004","Altamirano","003-5","006","19",1762.6319,0,0,18,12,1113.2412,52707446.97,278.3103,0,0,0.631578947368421,0.631578947368421
"245","07004003-5007","07","Chiapas","004","Altamirano","003-5","007","109",3459.0169,0,12,28,62,2145.3364,137894526.9072,126.9364,0,0.110091743119266,0.568807339449541,0.678899082568807
"246","07004003-5008","07","Chiapas","004","Altamirano","003-5","008","28",776.4232,0,22,8,6,166.3764,7737960.03732,27.7294,0,0.785714285714286,0.214285714285714,1
"247","07004003-5009","07","Chiapas","004","Altamirano","003-5","009","47",235.7285,0,0,27,27,135.4185,7047376.64862,15.0465,0,0,0.574468085106383,0.574468085106383
"248","07004003-5010","07","Chiapas","004","Altamirano","003-5","010","20",5.218,0,0,10,20,5.218,52018.277744,0.2609,0,0,1,1
"249","07004004-A001","07","Chiapas","004","Altamirano","004-A","001","1",55.831,0,0,0,0,0,0,0,0,0,0,0
"250","07004004-A002","07","Chiapas","004","Altamirano","004-A","002","229",6191.6142,0,1,8,129,3377.2442,246806629.3392,108.150466375546,0,0.00436681222707424,0.563318777292576,0.567685589519651
"251","07004004-A005","07","Chiapas","004","Altamirano","004-A","005","64",2208.7623,0,13,15,18,513.737,66034626.9948,103.5357328125,0,0.203125,0.28125,0.484375
"252","07004004-A006","07","Chiapas","004","Altamirano","004-A","006","25",614.425,0,0,18,21,516.117,18367863.84471,73.731,0,0,0.84,0.84
"253","07004004-A009","07","Chiapas","004","Altamirano","004-A","009","1",89.016,0,1,0,0,0,0,0,0,1,0,1
"254","07004004-A011","07","Chiapas","004","Altamirano","004-A","011","55",76.4128,0,12,11,1,2.6339,761476.734926,1.38932363636364,0,0.218181818181818,0.0181818181818182,0.236363636363636
"255","07004005-4001","07","Chiapas","004","Altamirano","005-4","001","6",2379.2187,0,1,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
"256","07004005-4004","07","Chiapas","004","Altamirano","005-4","004","58",804.1062,0,0,12,50,693.195,24033339.67302,41.5917,0,0,0.862068965517241,0.862068965517241
"257","07004005-4005","07","Chiapas","004","Altamirano","005-4","005","5",1469.9192,0,0,0,0,0,0,0,0,0,0,0
"258","07004005-4007","07","Chiapas","004","Altamirano","005-4","007","62",1879.6611,0,0,21,50,1526.85,56178834.8397,90.9513435483871,0,0,0.806451612903226,0.806451612903226
"259","07004005-4011","07","Chiapas","004","Altamirano","005-4","011","50",1078.82,0,0,33,31,668.8684,32237715.4155,64.7292,0,0,0.62,0.62
"260","07004005-4012","07","Chiapas","004","Altamirano","005-4","012","33",124.8322,0,0,12,27,10.1542,1243472.33393,3.78279393939394,0,0,0.818181818181818,0.818181818181818
"261","07004005-4013","07","Chiapas","004","Altamirano","005-4","013","26",653.4164,0,0,13,26,653.4164,7212988.73125,25.1314,0,0,1,1
"262","07004006-9001","07","Chiapas","004","Altamirano","006-9","001","70",925.8806,0,0,3,61,704.7086,27683148.49332,39.6805971428571,0,0,0.871428571428571,0.871428571428571
"263","07004006-9002","07","Chiapas","004","Altamirano","006-9","002","45",2056.626,0,0,8,41,1873.8148,81979109.9636,182.8112,0,0,0.911111111111111,0.911111111111111
"264","07004006-9004","07","Chiapas","004","Altamirano","006-9","004","17",1072.5815,0,0,8,15,39.8846,21374539.007,126.186058823529,0,0,0.882352941176471,0.882352941176471
"265","07004006-9005","07","Chiapas","004","Altamirano","006-9","005","1",1255.7719,0,0,0,0,0,0,0,0,0,0,0
"266","07004006-9006","07","Chiapas","004","Altamirano","006-9","006","12",3312.2801,0,8,0,0,0,0,0,0,0.666666666666667,0,0.666666666666667
"267","07004006-9007","07","Chiapas","004","Altamirano","006-9","007","78",926.0277,0,0,14,78,926.0277,18452541.9056,23.7443,0,0,1,1
"268","07004006-9008","07","Chiapas","004","Altamirano","006-9","008","3",2092.9671,0,0,8,2,1933.1946,20848789.9274,697.6557,0,0,0.666666666666667,0.666666666666667
